"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","I(pos^2)","pos"
"preserved ~ stimlen + I(pos^2) + pos",5444.03618010521,0,1,0.999940844831765,0.037778393104173,1.70198555916443,-0.18320948970644,0.0272494310477203,-0.255355693102808
"preserved ~ stimlen",5463.50675498396,19.4705748787528,5.91586677758905e-05,5.91551682349456e-05,0.0313709764055795,1.22461653034932,-0.180110093592961,NA,NA
"preserved ~ I(pos^2) + pos",5521.56900711193,77.5328270067212,1.45868169259575e-17,1.45859540403482e-17,0.0113682444252671,0.357433258578581,NA,0.0171108695842291,-0.222521528033677
