"","Df","Deviance","AIC"
"stimlen",1,4907.08962371184,5497.86822581065
"pos",1,4864.71902509712,5455.49762719593
"I(pos^2)",1,4862.57437872591,5453.35298082472
"log_freq",1,4853.05917215267,5443.83777425148
"<none>",NA,4846.17076251962,5438.94936461843
