"","model","p_accounted_for","model_deviance","diff_stimlen","diff_stimlen+pos","diff_stimlen+pos+I(pos^2)","diff_stimlen+pos+I(pos^2)+log_freq"
"1","preserved ~ stimlen",0.380363167114528,4871.86328164902,0,-0.00948813022716594,-0.0939800943241502,-0.095242729840763
"2","preserved ~ stimlen+pos",0.389851297341694,4869.605016588,0.00948813022716594,0,-0.0844919640969842,-0.0857545996135971
"3","preserved ~ stimlen+pos+I(pos^2)",0.474343261438678,4853.05917215267,0.0939800943241502,0.0844919640969842,0,-0.00126263551661288
"4","preserved ~ stimlen+pos+I(pos^2)+log_freq",0.475605896955291,4846.17076251962,0.095242729840763,0.0857545996135971,0.00126263551661288,0
