Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),stimlen,I(pos^2),pos,log_freq
preserved ~ stimlen + I(pos^2) + pos + log_freq,5438.949365,0,1,0.927129391,0.040118166,1.588464166,-0.168718166,0.027150893,-0.254578186,0.045833178
preserved ~ stimlen + I(pos^2) + pos,5444.03618,5.086815487,0.078598101,0.072870609,0.037778393,1.701985559,-0.18320949,0.027249431,-0.255355693,NA
preserved ~ 1,5557.102517,118.1531523,2.20E-26,2.04E-26,-3.15E-16,-0.166944163,NA,NA,NA,NA
