Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),stimlen,I(pos^2),pos,CumPres
preserved ~ stimlen + I(pos^2) + pos,5444.03618,0,1,0.999940845,0.037778393,1.701985559,-0.18320949,0.027249431,-0.255355693,NA
preserved ~ stimlen + pos,5462.025424,0,1,0.677141345,0.03214204,1.225339087,-0.168107479,NA,-0.024236496,NA
preserved ~ stimlen,5463.506755,19.47057488,5.92E-05,5.92E-05,0.031370976,1.22461653,-0.180110094,NA,NA,NA
preserved ~ stimlen,5463.506755,0,1,0.681212727,0.031370976,1.22461653,-0.180110094,NA,NA,NA
preserved ~ stimlen,5463.506755,1.481330808,0.476796548,0.322858655,0.031370976,1.22461653,-0.180110094,NA,NA,NA
preserved ~ stimlen + CumPres,5465.025456,1.518701215,0.467970225,0.318787273,0.031395962,1.221656997,-0.180935021,NA,NA,0.007310469
preserved ~ I(pos^2) + pos,5521.569007,77.53282701,1.46E-17,1.46E-17,0.011368244,0.357433259,NA,0.01711087,-0.222521528,NA
preserved ~ pos,5528.487119,66.46169513,3.70E-15,2.50E-15,0.008997405,0.12099752,NA,NA,-0.074698185,NA
preserved ~ CumPres,5559.274259,95.76750385,1.60E-21,1.09E-21,0.000538841,-0.125131607,NA,NA,NA,-0.03281225
