"","Df","Deviance","AIC"
"CumErr",1,2661.57599236587,2766.60244547725
"I(pos^2)",1,1824.04456682447,1929.07101993585
"stimlen",1,1823.95662858563,1928.98308169701
"log_freq",1,1816.02773325398,1921.05418636536
"pos",1,1812.82724804343,1917.85370115481
"<none>",NA,1807.62939980853,1914.65585291991
