"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+I(pos^2)","diff_CumErr+I(pos^2)+stimlen+log_freq","diff_CumErr+I(pos^2)+stimlen"
"1","preserved ~ CumErr",0.974419889976528,1870.38606229338,0,-0.00957590032110056,-0.00982331163356731,-0.00991531577094751
"2","preserved ~ CumErr+I(pos^2)",0.983995790297629,1844.55274013565,0.00957590032110056,0,-0.00024741131246675,-0.000339415449846947
"3","preserved ~ CumErr+I(pos^2)+stimlen+log_freq",0.984243201610096,1812.82724804343,0.00982331163356731,0.00024741131246675,0,-9.20041373801972e-05
"4","preserved ~ CumErr+I(pos^2)+stimlen",0.984335205747476,1821.20656634291,0.00991531577094751,0.000339415449846947,9.20041373801972e-05,0
