"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","pos"
"preserved ~ CumErr + pos",1958.85687769733,0,1,0.999988536796228,0.417007332033072,2.48548211187943,-1.77744458936396,0.143684070719847
"preserved ~ CumErr",1981.6095914198,22.752713722472,1.14633351783824e-05,1.14632037718354e-05,0.409731530835244,2.96674094064629,-1.62664669050406,NA
"preserved ~ pos",2901.70801270789,942.851135010562,1.83011088606949e-205,1.83008990713548e-205,0.0443450041397413,3.01164910352073,NA,-0.216427137769633
