Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),CumErr,I(pos^2),pos,log_freq,stimlen
preserved ~ CumErr + I(pos^2) + pos + stimlen,5063.131242,0,1,0.350437012,0.075840953,1.005844179,-0.531062851,0.013136264,-0.035957804,NA,0.022834682
preserved ~ CumErr + I(pos^2) + pos,5063.333285,0.20204268,0.903913743,0.316764831,0.075505598,1.171159929,-0.531856176,0.014367468,-0.03923849,NA,NA
preserved ~ CumErr + I(pos^2) + pos + log_freq,5064.458293,1.32705052,0.515032507,0.180486453,0.075631228,1.173778737,-0.5306102,0.014199707,-0.03931421,-0.011192083,NA
preserved ~ CumErr + I(pos^2) + pos + stimlen + log_freq,5064.797746,1.66650374,0.434633614,0.152311705,0.07588705,1.023566362,-0.530356432,0.013150786,-0.036328299,-0.007010043,0.020615648
preserved ~ 1,5333.776427,270.6451846,1.70E-59,5.95E-60,0,0.840645968,NA,NA,NA,NA,NA
