"Description","ParameterValue"
"min preserved",0.521071428571429
"max preserved",0.877738095238095
"mean change in probability for each additional length: ",0.0057928507876472
"mean change in probability for each additional position (excluding  U-shape): ",-0.0168943173150349
"U-shape",0
