"","CumErr","I(pos^2)","pos","stimlen"
"McFadden",0.0460337496996413,0.00275256797726324,0.00292721232705497,0.000547698209953965
"SquaredCorrelation",0.0561706474862856,0.00337729333926294,0.00363025782416402,0.00066017203041598
"Nagelkerke",0.0561706474862856,0.00337729333926294,0.00363025782416402,0.00066017203041598
"Estrella",0.0576903918785972,0.00345328458689422,0.00368089849182666,0.000684546086715402
