"","Df","Deviance","AIC"
"CumErr",1,4724.90668835049,5251.94088466493
"I(pos^2)",1,4537.36232190268,5064.39651821712
"<none>",NA,4534.09704608169,5063.13124239613
"stimlen",1,4535.10574744439,5062.13994375883
"pos",1,4534.39895590791,5061.43315222235
