"","NagContributions","NagPercents"
"CumErr",0.0561706474862856,0.879888488503831
"I(pos^2)",0.00337729333926294,0.0529038147947941
"pos",0.00363025782416402,0.0568663921946561
"stimlen",0.00066017203041598,0.0103413045067185
