"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+I(pos^2)","diff_CumErr+I(pos^2)+stimlen","diff_CumErr+I(pos^2)+stimlen+pos"
"1","preserved ~ CumErr",0.678074776512754,4556.30423752797,0,-0.0344096347886914,-0.0358658591282828,-0.0363671740869523
"2","preserved ~ CumErr+I(pos^2)",0.712484411301445,4535.46625085982,0.0344096347886914,0,-0.00145622433959136,-0.00195753929826092
"3","preserved ~ CumErr+I(pos^2)+stimlen",0.713940635641037,4534.39895590791,0.0358658591282828,0.00145622433959136,0,-0.000501314958669563
"4","preserved ~ CumErr+I(pos^2)+stimlen+pos",0.714441950599706,4534.09704608169,0.0363671740869523,0.00195753929826092,0.000501314958669563,0
