"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+stimlen"
"1","preserved ~ CumErr",0.569665828676378,3953.63783745462,0,-0.0537175025280399,-0.0901267409799503,-0.0947976281099678
"2","preserved ~ CumErr+pos",0.623383331204418,3845.42705812041,0.0537175025280399,0,-0.0364092384519105,-0.041080125581928
"3","preserved ~ CumErr+pos+I(pos^2)",0.659792569656329,3806.40007568916,0.0901267409799503,0.0364092384519105,0,-0.00467088713001751
"4","preserved ~ CumErr+pos+I(pos^2)+stimlen",0.664463456786346,3798.21409925542,0.0947976281099678,0.041080125581928,0.00467088713001751,0
