"","CumErr","I(pos^2)","pos","stimlen"
"McFadden",0.0618751775389097,0.0332323097556098,0.0441403664534081,0.00904798029724886
"SquaredCorrelation",0.0685936787093905,0.0379413800727193,0.0496653576398396,0.0106673790110653
"Nagelkerke",0.0685936787093905,0.0379413800727193,0.0496653576398396,0.0106673790110653
"Estrella",0.0745916543524523,0.0403022964128791,0.0533720990599115,0.0110415428339389
