"","Df","Deviance","AIC"
"CumErr",1,1105.65389136307,1217.49970548653
"pos",1,1059.81631705948,1171.66213118294
"I(pos^2)",1,1055.780580498,1167.62639462146
"log_freq",1,1038.35145527546,1150.19726939892
"<none>",NA,1035.60373558263,1149.44954970609
"stimlen",1,1037.12624174726,1148.97205587072
