"","NagContributions","NagPercents"
"CumErr",0.116680377333409,0.554712315429736
"I(pos^2)",0.0329516454050305,0.156656019954525
"pos",0.0448792373892545,0.213361203107678
"stimlen",0.0110835195068138,0.0526923627540835
"log_freq",0.00474916638554189,0.022578098753977
