"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","pos"
"preserved ~ CumErr + pos",1167.08214083331,0,1,0.829458948110586,0.176168300995074,1.95065541481064,-0.73496713056335,-0.118526999545961
"preserved ~ CumErr",1170.2457359877,3.16359515439535,0.205605174647747,0.170541051889414,0.169117753900144,1.61113142920745,-0.878535749651303,NA
"preserved ~ pos",1236.88960266059,69.8074618272797,6.94228224541882e-16,5.75833812877188e-16,0.100749688511369,2.30466388965076,NA,-0.33026045620385
