"","model","p_accounted_for","model_deviance","diff_CumErr+pos","diff_CumErr","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+log_freq"
"1","preserved ~ CumErr+pos",0.848677962815258,1058.7221530542,0,-0.00867356163430011,-0.0603794474680694,-0.0616453220829425
"2","preserved ~ CumErr",0.857351524449558,1064.62109882237,0.00867356163430011,0,-0.0517058858337693,-0.0529717604486424
"3","preserved ~ CumErr+pos+I(pos^2)",0.909057410283327,1041.0664989206,0.0603794474680694,0.0517058858337693,0,-0.00126587461487304
"4","preserved ~ CumErr+pos+I(pos^2)+log_freq",0.9103232848982,1037.12624174726,0.0616453220829425,0.0529717604486424,0.00126587461487304,0
