"model","deviance","deviance_explained","percent_explained","percent_of_explained_deviance","increment_in_explained"
"CumErr + pos + I(pos^2) + log_freq",1037.12624174726,160.589429004563,13.4079759433855,100,2.45362175939391
"CumErr + pos + I(pos^2)",1041.0664989206,156.64917183122,13.0789949281443,97.5463782406061,10.9942816554278
"CumErr + pos",1058.7221530542,138.993517697615,11.6048842886365,86.5520965851783,3.67330888760074
"CumErr",1064.62109882237,133.094571929443,11.1123679166608,82.8787876975775,82.8787876975775
"null",1197.71567075182,0,0,NA,0
