"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+CumPres","diff_CumErr+CumPres+log_freq","diff_CumErr+CumPres+log_freq+stimlen"
"1","preserved ~ CumErr",0.851810196616333,1380.20457968012,0,-0.0699424741860541,-0.0756881230100427,-0.0795394892882211
"2","preserved ~ CumErr+CumPres",0.921752670802387,1350.0408361689,0.0699424741860541,0,-0.00574564882398854,-0.00959701510216693
"3","preserved ~ CumErr+CumPres+log_freq",0.927498319626375,1328.86599752161,0.0756881230100427,0.00574564882398854,0,-0.00385136627817839
"4","preserved ~ CumErr+CumPres+log_freq+stimlen",0.931349685904554,1320.50989880574,0.0795394892882211,0.00959701510216693,0.00385136627817839,0
