"","Df","Deviance","AIC"
"CumErr",1,1446.90216141604,1454.90216141604
"CumPres",1,1362.05298590355,1370.05298590355
"log_freq",1,1336.34383712375,1344.34383712375
"stimlen",1,1328.86599752161,1336.86599752161
"<none>",NA,1320.50989880574,1330.50989880574
