"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,0.945454545454545,0.963636363636364,0.927272727272727,NA,NA,NA,NA,NA,NA
"2",5,0.966292134831461,0.98876404494382,0.97752808988764,0.955056179775281,NA,NA,NA,NA,NA
"3",6,0.961538461538462,0.980582524271845,0.971153846153846,0.98,0.941176470588235,NA,NA,NA,NA
"4",7,0.933333333333333,0.980769230769231,0.932692307692308,0.933333333333333,0.971153846153846,0.942307692307692,NA,NA,NA
"5",8,0.888888888888889,0.971830985915493,0.950704225352113,0.965034965034965,0.958333333333333,0.958041958041958,0.965034965034965,NA,NA
"6",9,0.925,0.962025316455696,0.962025316455696,0.961538461538462,0.974683544303797,0.925,0.949367088607595,0.925,NA
"7",10,0.987012987012987,1,0.961038961038961,0.960526315789474,0.96,0.947368421052632,0.945945945945946,0.96,0.896103896103896
