"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","CumPres","log_freq","stimlen"
"preserved ~ CumErr + CumPres + log_freq",1250.43796753212,0,1,0.632865035821038,0.173327264917489,3.03691309031237,-1.37907544813115,0.197441537013617,0.110286732126848,NA
"preserved ~ CumErr + CumPres + stimlen + log_freq",1252.32605656672,1.88808903460335,0.389051124985423,0.246216854150115,0.17341395442225,3.16491702361689,-1.37465153557731,0.201928693663619,0.106534297730967,-0.018381503103598
"preserved ~ CumErr + CumPres",1254.65134954091,4.21338200878586,0.121639806809078,0.0769815806934913,0.168510370005064,3.04165206085875,-1.40542777148094,0.186375310601287,NA,NA
"preserved ~ CumErr + CumPres + stimlen",1255.77298974907,5.3350222169438,0.0694248012585432,0.0439365293353564,0.16919177085327,3.38551275316419,-1.39069421835994,0.199837893742594,NA,-0.0495984180967922
"preserved ~ 1",1462.12513345648,211.68716592436,1.0782413298268e-46,6.82381237824562e-47,3.61446462670067e-16,3.05537050987708,NA,NA,NA,NA
