"","Df","Deviance","AIC"
"CumErr",1,1426.32440760265,1432.32440760265
"CumPres",1,1262.88571256263,1268.88571256263
"log_freq",1,1248.65134954091,1254.65134954091
"<none>",NA,1242.43796753212,1250.43796753212
