"","model","p_accounted_for","model_deviance","diff_CumErr+CumPres","diff_CumErr+CumPres+log_freq","diff_CumErr"
"1","preserved ~ CumErr+CumPres",0.814136028410061,1248.65134954091,0,-0.016313903928877,-0.0182813661925717
"2","preserved ~ CumErr+CumPres+log_freq",0.830449932338938,1242.43796753212,0.016313903928877,0,-0.00196746226369471
"3","preserved ~ CumErr",0.832417394602633,1266.97341377783,0.0182813661925717,0.00196746226369471,0
