"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,55,55,55,NA,NA,NA,NA,NA,NA
"2",5,89,89,89,89,NA,NA,NA,NA,NA
"3",6,104,103,104,100,102,NA,NA,NA,NA
"4",7,105,104,104,105,104,104,NA,NA,NA
"5",8,144,142,142,143,144,143,143,NA,NA
"6",9,80,79,79,78,79,80,79,80,NA
"7",10,77,77,77,76,75,76,74,75,77
