"model","deviance","deviance_explained","percent_explained","percent_of_explained_deviance","increment_in_explained"
"CumErr + CumPres + log_freq",1242.43796753212,217.68716592436,14.9088020565087,100,2.85427116587333
"CumErr + CumPres",1248.65134954091,211.473783915574,14.4832644182326,97.1457288341267,8.41669473674499
"CumErr",1266.97341377783,193.151719678649,13.2284360602307,88.7290340973817,88.7290340973817
"null",1460.12513345648,0,0,NA,0
