"","Df","Deviance","AIC"
"CumErr",1,1745.66302246657,1841.7015954357
"pos",1,1631.4908185217,1727.52939149083
"log_freq",1,1630.18279377066,1726.22136673979
"I(pos^2)",1,1622.84651811568,1718.88509108481
"<none>",NA,1617.63034729504,1715.66892026417
