"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",1757.47756904178,0,1,1,0.0751264326848112,3.19594059628146,NA,-1.02683912095319,NA,NA,NA
"preserved ~ CumPres",1866.32793303715,108.850363995369,2.3091055324869e-24,2.3091055324869e-24,0.0144894991747339,2.51314872528041,0.158919344250681,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",1883.00053831488,125.522969273103,5.53392853392528e-28,5.53392853392528e-28,0.00576291674591881,2.2713605493415,NA,NA,-0.0348461693772009,0.341002866636613,NA
"preserved ~ 1",1885.65760527279,128.180036231013,1.4657462351744e-28,1.4657462351744e-28,-6.72893479752494e-16,2.89084851312831,NA,NA,NA,NA,NA
"preserved ~ stimlen",1886.29299492991,128.815425888128,1.06680655704629e-28,1.06680655704629e-28,0.000700262435447362,3.20465251279306,NA,NA,NA,NA,-0.0406791191668209
"preserved ~ pos",1886.49012999955,129.012560957767,9.66670220744509e-29,9.66670220744509e-29,0.00129358009971689,2.72652986800881,NA,NA,NA,0.0439037069388828,NA
