"","Df","Deviance","AIC"
"CumErr",1,3217.27388927431,3227.27388927431
"pos",1,2710.16888092069,2720.16888092069
"I(pos^2)",1,2691.65295414811,2701.65295414811
"log_freq",1,2665.31548247369,2675.31548247369
"stimlen",1,2661.9413866742,2671.9413866742
"<none>",NA,2658.61776688985,2670.61776688985
