"","NagContributions","NagPercents"
"CumErr",0.13933120132162,0.635684930228444
"I(pos^2)",0.0297575738394934,0.135766009841981
"pos",0.0372804735071431,0.170088501179055
"stimlen",0.00887080570541459,0.0404721803331035
"log_freq",0.00394274310360899,0.0179883784174152
