"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,61,60,60,NA,NA,NA,NA,NA,NA
"2",5,93,93,93,93,NA,NA,NA,NA,NA
"3",6,118,118,118,118,118,NA,NA,NA,NA
"4",7,112,111,110,112,107,110,NA,NA,NA
"5",8,147,140,139,139,142,128,137,NA,NA
"6",9,94,92,88,90,91,92,87,91,NA
"7",10,82,78,77,81,80,76,80,77,79
