"Description","ParameterValue"
"min preserved",0.499581634842309
"max preserved",1.03624758635486
"mean change in probability for each additional length: ",-0.00963925333026306
"mean change in probability for each additional position (excluding  U-shape): ",-0.0487490545122506
"U-shape",0
