"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos"
"preserved ~ CumErr + I(pos^2) + pos",2679.51069354219,0,1,1,0.370806362513623,4.18124114477304,-1.53628418343052,0.0607489762428064,-0.755596816042563
"preserved ~ CumErr",2756.47023490194,76.9595413597508,1.94288872879659e-17,1.94288872879659e-17,0.344807834653002,2.39874386256692,-1.79543189455018,NA,NA
"preserved ~ I(pos^2) + pos",3250.51089385219,571.000200310005,1.02066193863487e-124,1.02066193863487e-124,0.175583569817251,4.25998732310211,NA,0.0363469939912764,-0.780852669303263
