"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+log_freq"
"1","preserved ~ CumErr",0.975847759726428,2752.47023490194,0,-0.00700409596039431,-0.0124174410559972,-0.0126494930319931
"2","preserved ~ CumErr+pos",0.982851855686822,2701.49273325655,0.00700409596039431,0,-0.00541334509560287,-0.00564539707159883
"3","preserved ~ CumErr+pos+I(pos^2)",0.988265200782425,2671.51069354219,0.0124174410559972,0.00541334509560287,0,-0.000232051975995962
"4","preserved ~ CumErr+pos+I(pos^2)+log_freq",0.988497252758421,2661.9413866742,0.0126494930319931,0.00564539707159883,0.000232051975995962,0
