"","Df","Deviance","AIC"
"CumPres",1,3110.10046334078,3192.52983076575
"I(pos^2)",1,3027.35449962431,3109.78386704928
"log_freq",1,3007.36117424613,3089.7905416711
"pos",1,3005.32581192397,3087.75517934894
"stimlen",1,3005.20838997022,3087.63775739519
"<none>",NA,2995.05191843373,3079.48128585871
