"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","I(pos^2)","pos","log_freq","stimlen"
"preserved ~ CumPres + I(pos^2) + pos + stimlen + log_freq",3079.48128585871,0,1,0.984874274935144,0.143810846773439,1.39002774010233,0.66770687271927,-0.0623882408402546,0.301797576467499,0.0897093789312111,-0.0950184417685876
"preserved ~ CumPres + I(pos^2) + pos + log_freq",3088.54551686504,9.0642310063372,0.0107578936250184,0.0105951726837694,0.139777112570733,0.704177846748398,0.68197397923396,-0.0664162119586974,0.300701375680481,0.110802454016324,NA
"preserved ~ CumPres + I(pos^2) + pos + stimlen",3090.24496049262,10.7636746339081,0.00459936367326825,0.00452979496287311,0.138920892433602,1.60126554614507,0.6690290496555,-0.0612792041923813,0.290846510401144,NA,-0.121644193025955
"preserved ~ CumPres + I(pos^2) + pos",3107.63750383572,28.156217977014,7.6905066256886e-07,7.57418213685897e-07,0.131733187647662,0.732470609360751,0.691122483377671,-0.0665631591843916,0.284394852672894,NA,NA
"preserved ~ 1",3428.34722160859,348.865935749883,1.7568091709992e-76,1.73023615848724e-76,2.05653120957331e-16,1.86832391252142,NA,NA,NA,NA,NA
