"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","pos"
"preserved ~ CumPres + pos",3140.28805757828,0,1,0.999963203605239,0.116819487010398,1.41291309843632,0.675879843548892,-0.217681701001564
"preserved ~ CumPres",3160.70820535623,20.4201477779538,3.67977487851599e-05,3.67963947606693e-05,0.109346375230462,1.08300502024811,0.448480013467265,NA
"preserved ~ pos",3266.73909887431,126.451041296029,3.47940727435529e-28,3.47927924471169e-28,0.0690141470536787,0.862769832404229,NA,0.298063124136454
