"","Df","Deviance","AIC"
"CumPres",1,555.411747497786,573.886364855624
"pos",1,467.197134795921,485.671752153758
"log_freq",1,462.852511885761,481.327129243599
"I(pos^2)",1,458.489193423703,476.96381078154
"<none>",NA,453.890091982779,474.364709340616
