"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","pos"
"preserved ~ CumPres + pos",483.902831647493,0,1,0.999999943814788,0.304603270322661,1.28164284867647,1.34357084182165,-0.524000315668958
"preserved ~ CumPres",517.292056022817,33.389224375324,5.61852152970921e-08,5.61852121403139e-08,0.238279357972694,0.347911808392822,0.835378900822154,NA
"preserved ~ pos",604.425819932761,120.522988285269,6.74164100744992e-27,6.74164062866939e-27,0.0441552594501186,0.604855268766782,NA,0.234493197253655
