"","NagContributions","NagPercents"
"CumPres",0.253353194438501,0.722130881161595
"I(pos^2)",0.0259608096449768,0.0739959185679272
"pos",0.0371126714917572,0.105781994286671
"log_freq",0.0344144268450986,0.0980912059838063
