"","CumPres","I(pos^2)","pos","stimlen","log_freq"
"McFadden",0.0547577849990468,0.0188475113817914,0.0217779461444221,0.00450607271917256,0.00484786185386599
"SquaredCorrelation",0.041548530238651,0.0144979676100012,0.0168452940896078,0.00338025988495984,0.00367269654454978
"Nagelkerke",0.041548530238651,0.0144979676100012,0.0168452940896078,0.00338025988495984,0.00367269654454978
"Estrella",0.0441179490918856,0.0151307401243842,0.0174548446365051,0.00364189349916354,0.00390815877506873
