"model","deviance","deviance_explained","percent_explained","percent_of_explained_deviance","increment_in_explained"
"CumPres + pos + log_freq + I(pos^2)",453.890091982779,139.813799942423,23.5494161052321,100,3.28944742423
"CumPres + pos + log_freq",458.489193423703,135.214698501499,22.7747704437373,96.71055257577,5.82387299685581
"CumPres + pos",466.631771564427,127.072120360774,21.4032823582675,90.8866795789142,21.5087452689528
"CumPres",496.703965644887,96.999926280315,16.3380984358674,69.3779343099613,69.3779343099613
"null",593.703891925202,0,0,NA,0
