"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","I(pos^2)","pos"
"preserved ~ CumPres + I(pos^2) + pos",481.757769609129,0,1,0.999999980776709,0.312703774692037,1.90417138591255,1.40509372996236,0.0730597250935413,-1.0394292843745
"preserved ~ CumPres",517.292056022817,35.5342864136877,1.92232912562588e-08,1.92232908867239e-08,0.238279357972694,0.347911808392822,0.835378900822154,NA,NA
"preserved ~ I(pos^2) + pos",606.277752454227,124.519982845098,9.13753980493969e-28,9.13753962928611e-28,0.0445080976350684,0.710273945768369,NA,0.0110162310664486,0.155393260015464
