"","CumPres","I(pos^2)","pos","log_freq"
"McFadden",0.179282202035618,0.0179273506864182,0.0266833882781256,0.0237032752195145
"SquaredCorrelation",0.163559401917081,0.0167597432833881,0.0239591467010706,0.0222172176852887
"Nagelkerke",0.253353194438501,0.0259608096449768,0.0371126714917572,0.0344144268450986
"Estrella",0.185021192915986,0.0185150253534671,0.0275117461726213,0.0244833067764308
