"Description","ParameterValue"
"min preserved",0.725371853546911
"max preserved",0.941962242562929
"mean change in probability for each additional length: ",-0.00654404309251332
"mean change in probability for each additional position (excluding  U-shape): ",-0.00602085950261363
"U-shape",0
