"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","pos","stimlen:pos","I(pos^2)","stimlen:I(pos^2)"
"preserved ~ stimlen + pos",3717.61148696592,0,1,0.384397600220341,0.00505307136199638,2.20997284988295,-0.0506237031030793,-0.0423511510463161,NA,NA,NA
"preserved ~ stimlen * pos",3719.37280666004,1.76131969411927,0.414509308674919,0.159336383523632,0.005139379786469,2.37617915726147,-0.07075978528362,-0.0950415490790408,0.006181147656523,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",3719.76526281162,2.15377584570115,0.340654019323046,0.130946587533193,0.00507298053506696,2.17535085621915,-0.0495624271857838,-0.0258310033331516,NA,-0.00191441138096357,NA
"preserved ~ stimlen",3719.81050727574,2.19902030981621,0.333034178907096,0.12801753916324,0.00339707576111653,2.21219040915513,-0.0723875227827005,NA,NA,NA,NA
"preserved ~ pos",3719.82155507266,2.2100681067368,0.331199603587829,0.12731233281309,0.00367817288196911,1.88172223321231,NA,-0.0582961844914321,NA,NA,NA
"preserved ~ I(pos^2) + pos",3721.97676244243,4.36527547650303,0.112743749577974,0.0433384267776164,0.00379480921180591,1.81565375860358,NA,-0.0181188706613825,NA,-0.00456632896671305,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3723.15007910442,5.5385921384991,0.0627061299829109,0.0241040858845357,0.00551424820770076,2.84249996016753,-0.136676569064291,-0.385983959755845,0.0462913548398685,0.033767176004104,-0.00453814095768277
"preserved ~ 1",3727.64497482585,10.0334878599233,0.00662606655945039,0.00254704408435298,0,1.65352976562206,NA,NA,NA,NA,NA
