"","CumErr","pos","log_freq"
"McFadden",0.0745598298865878,0.00512827433375429,0.00200544795034596
"SquaredCorrelation",0.0648464905386718,0.00438340909183789,0.00178216653185916
"Nagelkerke",0.0648464905386718,0.00438340909183789,0.00178216653185916
"Estrella",0.0675010798342844,0.00465231091360026,0.00181127850261583
