"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",2566.79097708525,0,1,0.999999999980091,0.0471160607717012,2.37052595344859,NA,-0.70518534750179,NA,NA,NA
"preserved ~ pos",2617.1231937724,50.3322166871499,1.17624560958698e-11,1.17624560956357e-11,0.0215161304971643,2.76829171973451,NA,NA,NA,-0.152267670679767,NA
"preserved ~ (I(pos^2) + pos)",2617.85777926161,51.0668021763604,8.14675776412376e-12,8.14675776396157e-12,0.0221637501156999,2.95854603001165,NA,NA,0.0117158447598135,-0.259956700442382,NA
"preserved ~ stimlen",2640.20753784217,73.4165607569257,1.14234264934812e-16,1.14234264932538e-16,0.00966543212570076,3.20512091330829,NA,NA,NA,NA,-0.136012233851034
"preserved ~ CumPres",2655.93455829197,89.1435812067252,4.39255585292171e-20,4.39255585283426e-20,0.00155197134228338,2.25569000391376,-0.0472699971365468,NA,NA,NA,NA
"preserved ~ 1",2656.93575678249,90.1447796972393,2.66262375647707e-20,2.66262375642406e-20,-4.53723503333448e-16,2.1421900522719,NA,NA,NA,NA,NA
