"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","pos","stimlen:pos","I(pos^2)","stimlen:I(pos^2)"
"preserved ~ stimlen * (I(pos^2) + pos)",2800.60177694404,0,1,0.996949349247964,0.0311870691462999,0.775369713821564,0.295972183014831,1.03469250205479,-0.182644982293499,-0.0786531820307728,0.0143665303319304
"preserved ~ stimlen + I(pos^2) + pos",2813.22516926893,12.6233923248983,0.0018149521732315,0.00180941538801932,0.0232732885747191,3.72913375522427,-0.107353594693475,-0.301292699976759,NA,0.0217898768038511,NA
"preserved ~ stimlen * pos",2815.28206521346,14.6802882694237,0.000648956976975948,0.000646977235886097,0.0222919019572824,2.604055879393,-0.0116613970814251,0.105920114030703,-0.0245466201592723,NA,NA
"preserved ~ stimlen + pos",2815.69957600659,15.0977990625584,0.000526689413539497,0.000525082668083993,0.0211378454535931,3.29964306753254,-0.0946022118104769,-0.10697511363169,NA,NA,NA
"preserved ~ I(pos^2) + pos",2820.8877767633,20.2859998192616,3.93505774052825e-05,3.92305325367281e-05,0.0186588950786039,2.93966717143438,NA,-0.284826571023632,NA,0.0162249994515492,NA
"preserved ~ pos",2821.43495140676,20.8331744627253,2.99318558593142e-05,2.98405442207271e-05,0.0174407224438864,2.68249080072055,NA,-0.137256894545259,NA,NA,NA
"preserved ~ stimlen",2832.74607915893,32.1443022148987,1.0470163454943e-07,1.04382226429253e-07,0.012022321802195,3.31623307342088,-0.151958931785011,NA,NA,NA,NA
"preserved ~ 1",2855.73513605297,55.1333591089306,1.06645659703571e-12,1.06320321041595e-12,0,2.1276469217399,NA,NA,NA,NA,NA
