"","model","p_accounted_for","model_deviance","diff_CumErr+stimlen","diff_CumErr+stimlen+log_freq","diff_CumErr"
"1","preserved ~ CumErr+stimlen",0.814003210205008,2807.8672402584,0,-0.00116245102434931,-0.00941932709595594
"2","preserved ~ CumErr+stimlen+log_freq",0.815165661229358,2805.2676069098,0.00116245102434931,0,-0.00825687607160663
"3","preserved ~ CumErr",0.823422537300964,2818.46457095489,0.00941932709595594,0.00825687607160663,0
