"","Df","Deviance","AIC"
"CumErr",1,2901.92172252161,2907.92172252161
"stimlen",1,2812.76373719846,2818.76373719846
"log_freq",1,2807.8672402584,2813.8672402584
"<none>",NA,2805.2676069098,2813.2676069098
