"","Df","Deviance","AIC"
"CumErr",1,2073.4095011838,2081.4095011838
"log_freq",1,1432.47008119672,1440.47008119672
"pos",1,1427.50706324142,1435.50706324142
"I(pos^2)",1,1427.22782132933,1435.22782132933
"<none>",NA,1417.52554778074,1427.52554778074
