"","model","p_accounted_for","model_deviance","diff_CumErr+log_freq+pos","diff_CumErr","diff_CumErr+log_freq","diff_CumErr+log_freq+pos+I(pos^2)"
"1","preserved ~ CumErr+log_freq+pos",0.932457941099029,1427.22782132933,0,-0.00205313170160915,-0.00237325047924197,-0.0130927908714695
"2","preserved ~ CumErr",0.934511072800638,1442.32670577986,0.00205313170160915,0,-0.000320118777632827,-0.0110396591698604
"3","preserved ~ CumErr+log_freq",0.934831191578271,1427.55957257898,0.00237325047924197,0.000320118777632827,0,-0.0107195403922276
"4","preserved ~ CumErr+log_freq+pos+I(pos^2)",0.945550731970499,1417.52554778074,0.0130927908714695,0.0110396591698604,0.0107195403922276,0
