"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,62,62,62,NA,NA,NA,NA,NA,NA
"2",5,97,96,96,97,NA,NA,NA,NA,NA
"3",6,120,120,120,119,120,NA,NA,NA,NA
"4",7,114,113,112,113,113,114,NA,NA,NA
"5",8,155,155,152,152,151,151,153,NA,NA
"6",9,91,91,90,91,89,89,92,91,NA
"7",10,85,85,83,84,83,83,85,83,84
