"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+CumPres+stimlen+log_freq","diff_CumErr+CumPres+stimlen","diff_CumErr+CumPres"
"1","preserved ~ CumErr",0.831498146634945,1736.42538625325,0,-0.109445103039476,-0.111034570909036,-0.114142551414677
"2","preserved ~ CumErr+CumPres+stimlen+log_freq",0.94094324967442,1623.28765071064,0.109445103039476,0,-0.00158946786956016,-0.00469744837520103
"3","preserved ~ CumErr+CumPres+stimlen",0.94253271754398,1628.23289678235,0.111034570909036,0.00158946786956016,0,-0.00310798050564087
"4","preserved ~ CumErr+CumPres",0.945640698049621,1643.61861939926,0.114142551414677,0.00469744837520103,0.00310798050564087,0
