"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","CumPres"
"preserved ~ CumErr + CumPres",1649.61861939926,0,1,1,0.176437685390512,2.44484784591542,-1.15403321299637,0.379950372704337
"preserved ~ CumErr",1740.42538625325,90.8067668539929,1.91232242528664e-20,1.91232242528664e-20,0.120058688336207,3.2058696572773,-1.11657320767192,NA
"preserved ~ CumPres",1837.99867391395,188.380054514693,1.24105466624506e-41,1.24105466624506e-41,0.0594801546611932,2.07272822405188,NA,0.357660713271296
