"Description","ParameterValue"
"min preserved",0.815044247787611
"max preserved",1.01681415929204
"mean change in probability for each additional length: ",-0.00771773877967141
"mean change in probability for each additional position (excluding  U-shape): ",0.00997040524855891
"U-shape",0
