"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",1538.58229886769,0,1,1,0.139162805758806,3.28128408641643,NA,-1.23043002763299,NA,NA,NA
"preserved ~ CumPres",1647.5211117044,108.938812836703,2.20921182910582e-24,2.20921182910582e-24,0.0648744891245098,2.10654460564977,0.401758702751829,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",1731.03028059608,192.447981728388,1.62349793652480e-42,1.62349793652480e-42,0.00798135097458011,2.20512150550465,NA,NA,-0.0232249191015576,0.289705546951653,NA
"preserved ~ pos",1731.58197563524,192.999676767544,1.23211908701478e-42,1.23211908701478e-42,0.00618189034865758,2.48930200827701,NA,NA,NA,0.0977549680152196,NA
"preserved ~ stimlen",1736.52625972729,197.943960859597,1.03995617094737e-43,1.03995617094737e-43,0.00269197106044254,3.47007357364169,NA,NA,NA,NA,-0.0803158477687561
"preserved ~ 1",1738.33598103156,199.753682163866,4.20764458363877e-44,4.20764458363877e-44,0,2.84729440990684,NA,NA,NA,NA,NA
