"","Df","Deviance","AIC"
"CumErr",1,1798.54607552758,1806.54607552758
"CumPres",1,1731.73612047839,1739.73612047839
"stimlen",1,1633.15261896336,1641.15261896336
"log_freq",1,1628.23289678235,1636.23289678235
"<none>",NA,1623.28765071064,1633.28765071064
