"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",1387.24061592848,0,1,0.999999999882154,0.0906432930296341,3.17914757746758,NA,-1.22526645643015,NA,NA,NA
"preserved ~ CumPres",1432.9638997922,45.7232838637146,1.17846058536021e-10,1.17846058522133e-10,0.0540454197886934,2.19229052419979,0.413737414107217,NA,NA,NA,NA
"preserved ~ pos",1488.45796739686,101.217351468373,1.04937663999878e-22,1.04937663987511e-22,0.00898249484173814,2.43229662236597,NA,NA,NA,0.11506022008253,NA
"preserved ~ (I(pos^2) + pos)",1488.55220813245,101.311592203968,1.00107652292024e-22,1.00107652280227e-22,0.0105418566549154,2.18569686924912,NA,NA,-0.0214285580568419,0.289547834137311,NA
"preserved ~ 1",1497.41576501241,110.175149083924,1.19061227295624e-24,1.19061227281593e-24,3.2039521988892e-16,2.84563210007573,NA,NA,NA,NA,NA
"preserved ~ stimlen",1497.58951912413,110.348903195648,1.09154119074009e-24,1.09154119061145e-24,0.00149898367931406,3.30271585087994,NA,NA,NA,NA,-0.0592576885105029
