"","Df","Deviance","AIC"
"CumErr",1,1023.98908881179,1092.7500434648
"CumPres",1,780.971368465066,849.732323118078
"log_freq",1,768.343842070941,837.104796723954
"<none>",NA,760.439501136658,831.20045578967
